osmid,latitude,longitude
618760605,-21.1573621,-47.8389031
618760611,-21.1602495,-47.8414542
618760927,-21.1577004,-47.8388907
618760928,-21.1575591,-47.838658
618760938,-21.1574476,-47.8379983
618760943,-21.1572725,-47.8379642
618760958,-21.1550505,-47.8407462
618760969,-21.1545281,-47.8412025
618761136,-21.1644942,-47.8441886
618761143,-21.1610733,-47.8420324
618761265,-21.1610688,-47.8488429
618761266,-21.160907,-47.8486962
618761751,-21.1718345,-47.8341681
618761753,-21.1711461,-47.8335502
618761766,-21.1636299,-47.8436729
618761926,-21.1725468,-47.8347851
618762067,-21.1731243,-47.8340244
618762080,-21.172401,-47.8333973
618762124,-21.171717,-47.8327912
618762596,-21.1747839,-47.8289872
618762599,-21.1745142,-47.8352636
618762601,-21.1747784,-47.835283
618763082,-21.1455739,-47.8327223
618763685,-21.1466203,-47.8313844
618764359,-21.1394574,-47.8348513
618764376,-21.1396729,-47.8392406
618764390,-21.1403755,-47.8394111
618764394,-21.1405759,-47.8390748
618764765,-21.1391672,-47.8347901
618764773,-21.1397343,-47.8345235
618764775,-21.1397231,-47.834412
618765084,-21.1387154,-47.8343395
618765085,-21.1386566,-47.834202
618765091,-21.1391956,-47.833792
618765093,-21.13942,-47.8339517
618765098,-21.1408642,-47.8333019
618766324,-21.208655,-47.7661711
618766330,-21.2095667,-47.7684014
618766339,-21.2101917,-47.769554
618766341,-21.2107478,-47.7701655
618766345,-21.2137269,-47.772691
618766350,-21.2134844,-47.7738403
618766597,-21.2054215,-47.7600847
618766923,-21.2119592,-47.7742256
618766926,-21.2111116,-47.7727073
618766929,-21.2092388,-47.7706888
618766955,-21.200789,-47.7669742
618766968,-21.2036956,-47.7620532
618767053,-21.2013779,-47.7677382
618767136,-21.1996959,-47.7665223
618767142,-21.2006116,-47.7672425
618767435,-21.1927701,-47.7602374
618767440,-21.1926461,-47.7615723
618767445,-21.1939208,-47.7614018
618767449,-21.1937776,-47.7615938
1126517550,-21.1573045,-47.8461239
1126517554,-21.1572067,-47.8406748
1126517555,-21.1578276,-47.8421544
1126517561,-21.1573272,-47.844879
1126517563,-21.1571529,-47.8434391
1126517565,-21.156201,-47.8407339
1126517569,-21.1573991,-47.8417868
1126517570,-21.1560836,-47.8421227
1126517573,-21.1582473,-47.8416082
1126517574,-21.1589258,-47.8431152
1126517575,-21.1599132,-47.8430891
1126517578,-21.1561408,-47.8397187
1126517581,-21.1571978,-47.8480178
1126517583,-21.1558639,-47.8400754
1126517585,-21.1567781,-47.8412105
1126517590,-21.1577956,-47.8432913
1126517591,-21.1567014,-47.8418791
1126517592,-21.1572288,-47.8416236
1126524817,-21.1592554,-47.8425059
1129994905,-21.1669453,-47.8997565
1129994915,-21.1664558,-47.8994761
1129994982,-21.1668204,-47.8999269
1129995010,-21.1664837,-47.9000743
1129995080,-21.1662348,-47.8997113
1129995227,-21.1666753,-47.8994412
1130011347,-21.1665056,-47.894823
1130011355,-21.1700492,-47.8988992
1130011423,-21.1636813,-47.8988245
1130011488,-21.1701253,-47.8986623
1130011504,-21.1663098,-47.8948253
1130011512,-21.1632397,-47.8982808
1130015924,-21.1663984,-47.8999071
1130031646,-21.1704457,-47.8640495
1130031654,-21.1763939,-47.8467745
1131225810,-21.1985401,-47.8777362
1131225836,-21.1982936,-47.8778805
1131225857,-21.1960914,-47.881352
1131225868,-21.1981976,-47.8776947
1131225871,-21.1977507,-47.8768275
1131225872,-21.1973226,-47.8765361
1131225887,-21.1980842,-47.8772842
1131225892,-21.1974791,-47.8767158
1131225909,-21.1973458,-47.8766265
1131225918,-21.1990951,-47.8745245
1131225924,-21.1985042,-47.8775928
1131225938,-21.1992283,-47.8739698
1131225939,-21.1974955,-47.8763398
1131225941,-21.1976687,-47.8765601
1131225943,-21.1983802,-47.8775252
1131225968,-21.1966557,-47.8798442
1131238614,-21.1762384,-47.8535424
1131238615,-21.1758761,-47.8525935
1131238616,-21.1895522,-47.8654484
1131238635,-21.176128,-47.8510038
1131238637,-21.1755861,-47.8542916
1131238659,-21.176033,-47.8545016
1131238673,-21.1763553,-47.8513742
1131238677,-21.1762929,-47.8528168
1131238681,-21.1763136,-47.8498421
1131239808,-21.218407,-47.9258662
1152664158,-21.0936785,-47.794012
1317234764,-21.1242154,-47.8533474
1317234930,-21.1091047,-47.8625883
1666710034,-21.18146,-47.8379068
1666710037,-21.1870705,-47.8351104
1666710038,-21.1871918,-47.8351677
1666710046,-21.1805869,-47.8399118
1666710054,-21.1832722,-47.8339491
1666710058,-21.1724563,-47.8452416
1666710066,-21.1862073,-47.8341936
1666710080,-21.1718597,-47.8485153
1666710081,-21.1844202,-47.8418936
1666710086,-21.1746701,-47.8352845
1666710089,-21.1721103,-47.848569
1666710094,-21.1837801,-47.8398943
1666710096,-21.18352,-47.8381575
1666710103,-21.1869043,-47.8358123
1666710106,-21.1746874,-47.8387179
1666710108,-21.1653669,-47.8448319
1666710120,-21.1793785,-47.8368494
1666710121,-21.1801011,-47.8363926
1666710148,-21.1823347,-47.8408298
1666710150,-21.1789216,-47.8343632
1666710154,-21.184147,-47.8417644
1666710155,-21.1747366,-47.8381631
1666710156,-21.1792004,-47.8359582
1666710158,-21.1857046,-47.8385013
1666710161,-21.1746958,-47.8335243
1666710166,-21.1848364,-47.8422319
1666710174,-21.1809857,-47.8344154
1666710175,-21.1726238,-47.843915
1666710179,-21.1731834,-47.8448282
1666710184,-21.179537,-47.8376343
1666710191,-21.1841214,-47.8368264
1666710201,-21.1804508,-47.8333716
1666710203,-21.1850897,-47.8424863
1666710204,-21.1835575,-47.8333218
1666710210,-21.1746823,-47.8340328
1666710216,-21.1791156,-47.8379265
1666710217,-21.1815627,-47.8331353
1666710226,-21.185357,-47.8340917
1666710232,-21.1798033,-47.8370582
1666710241,-21.1789962,-47.8370621
1666710243,-21.185272,-47.8390565
1666710253,-21.1727902,-47.8452767
1666710260,-21.1792473,-47.838245
1666710263,-21.1817683,-47.8372532
1666710273,-21.1812754,-47.8337457
1666710276,-21.1730299,-47.8439324
1666710285,-21.1849973,-47.8397096
1666710293,-21.1723282,-47.8440215
1666710297,-21.1861769,-47.8370717
1666710313,-21.1855642,-47.8384265
1666710315,-21.1726384,-47.8361471
1666710333,-21.1862312,-47.8346918
1666710337,-21.1781138,-47.8408515
1666710377,-21.1851269,-47.8397753
1666710379,-21.1966658,-47.8408563
1666710410,-21.1806852,-47.835087
1666710412,-21.1811657,-47.8402382
1666710428,-21.1790399,-47.8342296
1666710460,-21.1832249,-47.8388107
1666710464,-21.1795714,-47.8378009
1666710468,-21.1846438,-47.8425393
1666710479,-21.1785228,-47.8409886
1666710487,-21.184718,-47.8355061
1666710534,-21.186625,-47.8341668
1666710552,-21.1811741,-47.8385634
1666710554,-21.1866045,-47.8364841
1666710595,-21.1836162,-47.8331898
1666710617,-21.1844087,-47.8361905
1666710620,-21.1746045,-47.8384935
1666710656,-21.1787765,-47.8379632
1666710664,-21.1867779,-47.835743
1666710669,-21.1733679,-47.8425047
1666710679,-21.1805598,-47.8402995
1666710683,-21.1802839,-47.8395736
1666710693,-21.1747016,-47.8328226
1666710698,-21.178987,-47.8382712
1666710703,-21.1819328,-47.8323535
1666710709,-21.1808808,-47.839247
1666710715,-21.172215,-47.8480837
1666710726,-21.172019,-47.8480061
1666710731,-21.1799713,-47.839077
1666710734,-21.1738071,-47.8346452
1666710735,-21.1803978,-47.8357295
1666710738,-21.1864752,-47.8364122
1666710757,-21.1850096,-47.8348606
1666710777,-21.1798771,-47.8347101
1666710778,-21.1844066,-47.8337453
1666710779,-21.1834838,-47.840588
1666710789,-21.1826325,-47.8401277
